allocation_fid,mov,subtotal,gap,gtin,name,price,currency,discount,available_qty
LKKEJ6,350.00,348.34,1.66,3596206198001,Weleda Calendula Baby Soap 100g,3.39,EUR,17%,4
LKKEJ6,350.00,348.34,1.66,7611916125720,Weleda Regeneration Shower Cream Pomegranate 200ml,3.81,EUR,9%,11
LKKEJ6,350.00,348.34,1.66,7611916160769,Weleda Aroma Shower Love Pampering Creamy Body Wash 200 Ml,3.99,EUR,5%,5
LKKEJ6,350.00,348.34,1.66,4001638098250,Weleda Soothing Lavender Bath 200 Ml,10.48,EUR,0%,1
LKKEJ6,350.00,348.34,1.66,3596204711394,Weleda Everon Lip Balm Spf 4 48 G,3.45,EUR,0%,3
LKKEJ6,350.00,348.34,1.66,7611916124501,Weleda Citrus Refresh Shower Cream 200 Ml,3.99,EUR,0%,1
LKKEJ6,350.00,348.34,1.66,7611916124877,Weleda Birch Body Scrub 150ml Exfoliating Body Scrub,5.03,EUR,0%,7
LKKEJ6,350.00,348.34,1.66,4001638530248,Weleda Allinone Calendula Balm 25 G,5.83,EUR,0%,7
LKKEJ6,350.00,348.34,1.66,3596200080319,Weleda Gentle Milk Cleanser Sensitive 75 Ml,6.37,EUR,0%,8
LKKEJ6,350.00,348.34,1.66,3401360192546,Weleda Purifying Cleansing Gel,7.33,EUR,0%,6
LKKEJ6,350.00,348.34,1.66,3596200088766,Weleda Iris Day Cream Hydrating,9.46,EUR,0%,5
DWY1DM,350.00,298.54,51.46,3571940000186,Noreva Trio White Xp Antidark Spot Serum 30ml,12.98,EUR,0%,23
DWY1DM,350.00,298.54,51.46,3577057054661,ELGYDIUM Manual Toothbrush 0.1g,2.48,EUR,0%,72
91RR36,450.00,386.88,63.12,8436097095353,Byphasse Byphasse Niacinamide Antistain Cream 50ml,2.37,EUR,41%,45
91RR36,450.00,386.88,63.12,3522930003595,Caudalie Lip Conditioner 45g,2.41,EUR,19%,24
91RR36,450.00,386.88,63.12,3178041309752,Mont St Michel Instant Ensoleille Eau De Cologne,4.48,EUR,9%,223
91RR36,450.00,386.88,63.12,8436097095131,Byphasse 48h Deodorant Sweet Almond Oil Rollon 50ml,1.15,EUR,6%,1854
